representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,denso,Dijkstra,500,0.80,2,2187600,38262368
MA,denso,Dijkstra,500,0.80,2,4066500,30411912
LA,denso,Bellman-Ford,500,0.80,2,272100000,38262368
MA,denso,Bellman-Ford,500,0.80,2,116651700,30411912
LA,denso,Dijkstra,500,0.80,3,2561700,38262368
MA,denso,Dijkstra,500,0.80,3,12325600,30411912
LA,denso,Bellman-Ford,500,0.80,3,302042300,38262368
MA,denso,Bellman-Ford,500,0.80,3,108078400,30411912
LA,denso,Dijkstra,500,0.80,4,2257600,38262368
MA,denso,Dijkstra,500,0.80,4,3311100,30411912
LA,denso,Bellman-Ford,500,0.80,4,277050300,38262368
MA,denso,Bellman-Ford,500,0.80,4,115645800,30411912
LA,denso,Dijkstra,500,0.80,5,2321600,38262368
MA,denso,Dijkstra,500,0.80,5,3787600,30411912
LA,denso,Bellman-Ford,500,0.80,5,283037000,38262368
